method,endpoint,endpointLength,executionTime
POST,/api/blog/posts,3,0.04136252403259277
POST,/api/blog/posts,3,0.025168418884277344
POST,/api/blog/posts,3,0.026294946670532227
GET,/api/blog/posts/2936,4,0.03966498374938965
PUT,/api/blog/posts/2937,4,0.04300665855407715
PUT,/api/blog/posts/2937,4,0.026465892791748047
PUT,/api/blog/posts/2938,4,0.024898767471313477
DELETE,/api/blog/posts/2940,4,0.06168675422668457
GET,/api/doc,2,0.03537559509277344
POST,/api/blog/posts,3,0.04268217086791992
POST,/api/blog/posts,3,0.02331376075744629
POST,/api/blog/posts,3,0.023235797882080078
POST,/api/blog/posts,3,0.04131031036376953
POST,/api/blog/posts,3,0.043080806732177734
POST,/api/blog/posts,3,0.023418903350830078
POST,/api/blog/posts,3,0.023380756378173828
POST,/api/blog/posts,3,0.024335145950317383
POST,/api/blog/posts,3,0.028017520904541016
POST,/api/blog/posts,3,0.04588747024536133
POST,/api/blog/posts,3,0.050566911697387695
POST,/api/blog/posts,3,0.02622842788696289
POST,/api/blog/posts,3,0.024289846420288086
POST,/api/blog/posts,3,0.05023908615112305
POST,/api/blog/posts,3,0.024069786071777344
POST,/api/blog/posts,3,0.02672743797302246
POST,/api/blog/posts,3,0.033837318420410156
POST,/api/blog/posts,3,0.03265047073364258
GET,/api/blog/posts/2950,4,0.027425289154052734
PUT,/api/blog/posts/2951,4,0.041915178298950195
PUT,/api/blog/posts/2951,4,0.026628494262695312
DELETE,/api/blog/posts/2953,4,0.02530646324157715
GET,/api/doc,2,0.02169060707092285
POST,/api/blog/posts,3,0.048084259033203125
POST,/api/blog/posts,3,0.055220842361450195
POST,/api/blog/posts,3,0.04391670227050781
POST,/api/blog/posts,3,0.05515789985656738
POST,/api/blog/posts,3,0.045798301696777344
POST,/api/blog/posts,3,0.059034109115600586
POST,/api/blog/posts,3,0.056226491928100586
POST,/api/blog/posts,3,0.04313945770263672
POST,/api/blog/posts,3,0.047353267669677734
POST,/api/blog/posts,3,0.028708696365356445
POST,/api/blog/posts,3,0.029450178146362305
POST,/api/blog/posts,3,0.04661154747009277
POST,/api/blog/posts,3,0.02760457992553711
POST,/api/blog/posts,3,0.025162458419799805
GET,/api/blog/posts/2963,4,0.026135921478271484
PUT,/api/blog/posts/2964,4,0.0489962100982666
PUT,/api/blog/posts/2964,4,0.03818702697753906
PUT,/api/blog/posts/2965,4,0.029221296310424805
DELETE,/api/blog/posts/2967,4,0.03352499008178711
GET,/api/doc,2,0.0237123966217041
POST,/api/blog/posts,3,0.0597383975982666
POST,/api/blog/posts,3,0.029106855392456055
POST,/api/blog/posts,3,0.026287078857421875
POST,/api/blog/posts,3,0.044344425201416016
POST,/api/blog/posts,3,0.04359602928161621
POST,/api/blog/posts,3,0.02329421043395996
POST,/api/blog/posts,3,0.026909589767456055
POST,/api/blog/posts,3,0.02815985679626465
POST,/api/blog/posts,3,0.03551197052001953
POST,/api/blog/posts,3,0.048013925552368164
POST,/api/blog/posts,3,0.046274662017822266
POST,/api/blog/posts,3,0.02841782569885254
POST,/api/blog/posts,3,0.026852846145629883
POST,/api/blog/posts,3,0.04120612144470215
POST,/api/blog/posts,3,0.027890443801879883
POST,/api/blog/posts,3,0.027378082275390625
POST,/api/blog/posts,3,0.023823022842407227
POST,/api/blog/posts,3,0.02416372299194336
GET,/api/blog/posts/2977,4,0.030665159225463867
PUT,/api/blog/posts/2978,4,0.04515194892883301
PUT,/api/blog/posts/2978,4,0.03008580207824707
DELETE,/api/blog/posts/2980,4,0.026464462280273438
GET,/api/doc,2,0.029265880584716797
POST,/api/blog/posts,3,0.04324698448181152
POST,/api/blog/posts,3,0.02555060386657715
POST,/api/blog/posts,3,0.025290727615356445
POST,/api/blog/posts,3,0.04267621040344238
POST,/api/blog/posts,3,0.04216599464416504
POST,/api/blog/posts,3,0.06281447410583496
POST,/api/blog/posts,3,0.06518006324768066
POST,/api/blog/posts,3,0.04694390296936035
POST,/api/blog/posts,3,0.04702496528625488
POST,/api/blog/posts,3,0.04236197471618652
POST,/api/blog/posts,3,0.03658699989318848
POST,/api/blog/posts,3,0.1719045639038086
POST,/api/blog/posts,3,0.0345916748046875
POST,/api/blog/posts,3,0.03118586540222168
GET,/api/blog/posts/2990,4,0.0351099967956543
PUT,/api/blog/posts/2991,4,0.029097557067871094
PUT,/api/blog/posts/2991,4,0.025037288665771484
PUT,/api/blog/posts/2992,4,0.02773451805114746
DELETE,/api/blog/posts/2994,4,0.05170178413391113
GET,/api/doc,2,0.023295164108276367
POST,/api/blog/posts,3,0.04106307029724121
POST,/api/blog/posts,3,0.032380104064941406
POST,/api/blog/posts,3,0.02819991111755371
POST,/api/blog/posts,3,0.043250322341918945
POST,/api/blog/posts,3,0.046045541763305664
POST,/api/blog/posts,3,0.028383970260620117
POST,/api/blog/posts,3,0.02586197853088379
POST,/api/blog/posts,3,0.026316404342651367
POST,/api/blog/posts,3,0.024000167846679688
POST,/api/blog/posts,3,0.043421268463134766
POST,/api/blog/posts,3,0.04154181480407715
POST,/api/blog/posts,3,0.023412227630615234
POST,/api/blog/posts,3,0.023408889770507812
POST,/api/blog/posts,3,0.04886889457702637
POST,/api/blog/posts,3,0.031195640563964844
POST,/api/blog/posts,3,0.025929927825927734
