method,endpoint,endpointLength,executionTime
POST,/api/products/,2,0.8343079090118408
POST,/api/products/,2,0.6831927299499512
POST,/api/products/,2,1.0388059616088867
POST,/api/products/,2,0.5844497680664062
POST,/api/products/,2,0.6448233127593994
POST,/api/products/,2,0.9465267658233643
POST,/api/products/,2,0.7253377437591553
POST,/api/products/,2,1.0347483158111572
POST,/api/products/,2,0.8041582107543945
GET,/api/schema?format=json&lang=ar,4,0.7538337707519531
GET,/api/schema?format=json&lang=ar-dz,4,0.6012802124023438
GET,/api/schema?format=json&lang=ast,4,0.6885521411895752
GET,/api/schema?format=json&lang=az,4,0.8606383800506592
GET,/api/schema?format=json&lang=be,4,1.1604673862457275
GET,/api/schema?format=json&lang=bg,4,0.5970802307128906
GET,/api/schema?format=json&lang=bn,4,0.8542981147766113
GET,/api/schema?format=json&lang=br,4,0.4760897159576416
GET,/api/schema?format=json&lang=bs,4,0.980694055557251
GET,/api/products/,2,3.0593626499176025
PATCH,/api/products/2187/,3,0.5221099853515625
PATCH,/api/products/2188/,3,0.7860963344573975
PATCH,/api/products/2188/,3,0.56772780418396
PATCH,/api/products/2188/,3,0.42542052268981934
PATCH,/api/products/2189/,3,0.6747589111328125
PATCH,/api/products/2189/,3,0.9157314300537109
PATCH,/api/products/2189/,3,0.5562386512756348
PATCH,/api/products/2189/,3,0.9358603954315186
PATCH,/api/products/2189/,3,0.4040210247039795
GET,/api/products/2190/,3,0.37001681327819824
PUT,/api/products/2192/,3,0.6102416515350342
PUT,/api/products/2193/,3,0.6348600387573242
PUT,/api/products/2193/,3,0.5117325782775879
PUT,/api/products/2193/,3,0.39069581031799316
PUT,/api/products/2194/,3,0.7640876770019531
PUT,/api/products/2194/,3,0.5251219272613525
PUT,/api/products/2194/,3,0.49462366104125977
PUT,/api/products/2194/,3,0.5260307788848877
PUT,/api/products/2194/,3,0.4435567855834961
DELETE,/api/products/2195/,3,0.4873487949371338
